Unnamed: 0,Patch,Original,Category,Tool,DIFF,COMP,Detected,Fixed,Consistent,functional_check,mitigates,patch_link,original_link,diff_link,exploit_link
394,incorrect_constructor_name1.sol,incorrect_constructor_name1.sol,access_control,SmartFix,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SmartFix/access_control/incorrect_constructor_name1/incorrect_constructor_name1.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/incorrect_constructor_name1.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SmartFix/access_control/incorrect_constructor_name1/incorrect_constructor_name1.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/incorrect_constructor_name1_test.js
389,incorrect_constructor_name2.sol,incorrect_constructor_name2.sol,access_control,SmartFix,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SmartFix/access_control/incorrect_constructor_name2/incorrect_constructor_name2.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/incorrect_constructor_name2.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SmartFix/access_control/incorrect_constructor_name2/incorrect_constructor_name2.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/incorrect_constructor_name2_test.js
385,incorrect_constructor_name3.sol,incorrect_constructor_name3.sol,access_control,SmartFix,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SmartFix/access_control/incorrect_constructor_name3/incorrect_constructor_name3.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/incorrect_constructor_name3.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SmartFix/access_control/incorrect_constructor_name3/incorrect_constructor_name3.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/incorrect_constructor_name3_test.js
1071,mapping_write_1round.sol,mapping_write.sol,access_control,SolGPT,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mapping_write/mapping_write_1round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mapping_write.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mapping_write/mapping_write_1round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mapping_write_test.js
1072,mapping_write_3round.sol,mapping_write.sol,access_control,SolGPT,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mapping_write/mapping_write_3round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mapping_write.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mapping_write/mapping_write_3round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mapping_write_test.js
1073,mapping_write_2round.sol,mapping_write.sol,access_control,SolGPT,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mapping_write/mapping_write_2round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mapping_write.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mapping_write/mapping_write_2round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mapping_write_test.js
1074,mapping_write_4round.sol,mapping_write.sol,access_control,SolGPT,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mapping_write/mapping_write_4round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mapping_write.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mapping_write/mapping_write_4round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mapping_write_test.js
1076,mycontract_2round.sol,mycontract.sol,access_control,SolGPT,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mycontract/mycontract_2round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mycontract.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mycontract/mycontract_2round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mycontract_test.js
1077,mycontract_1round.sol,mycontract.sol,access_control,SolGPT,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mycontract/mycontract_1round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mycontract.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mycontract/mycontract_1round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mycontract_test.js
1078,mycontract_4round.sol,mycontract.sol,access_control,SolGPT,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mycontract/mycontract_4round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mycontract.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/access_control/mycontract/mycontract_4round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mycontract_test.js
